shock_type,shock_point,policy,n,p_hard,success_rate_pre_shock,success_rate_post_shock,success_rate_overall,success_rate_drop,recovery_time,recovery_status,deadlock_rate,worst_rolling_window,avg_latency_ms,total_cost,cost_per_correct,choose_A,choose_B,choose_C,choose_D,choose_E,choose_F,choose_G,choose_H,choose_I,choose_J,choose_A_pre,choose_B_pre,choose_C_pre,choose_D_pre,choose_E_pre,choose_F_pre,choose_G_pre,choose_H_pre,choose_I_pre,choose_J_pre,choose_A_post,choose_B_post,choose_C_post,choose_D_post,choose_E_post,choose_F_post,choose_G_post,choose_H_post,choose_I_post,choose_J_post
none,50,linucb,100,0.43,1.0,1.0,1.0,0.0,0,N/A,0.0,1.0,1754.812457561493,57.50000000000008,0.5750000000000007,57,0,0,43,19,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,50,random_topL,100,0.43,1.0,1.0,1.0,0.0,0,N/A,0.0,1.0,1394.49392080307,49.50000000000005,0.4950000000000005,22,0,0,22,30,16,0,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,50,random,100,0.43,0.99,0.99,0.99,0.0,0,N/A,0.0,0.9,2446.60432100296,42.87500000000003,0.43308080808080834,16,14,18,19,16,9,11,7,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,50,static_rule,100,0.43,0.41,0.41,0.41,0.0,0,N/A,0.0,0.0,14549.152121543884,21.80000000000004,0.5317073170731716,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
none,50,linucb_frozen,100,0.43,1.0,1.0,1.0,0.0,0,N/A,0.0,1.0,1633.4510970115662,57.15000000000008,0.5715000000000008,57,0,0,43,18,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
