policy,n,p_hard,shock_type,shock_point,success_rate_pre_shock,success_rate_post_shock,success_rate_overall,recovery_time,deadlock_rate,avg_latency_ms,cost_per_correct,worst_rolling_window,choose_A,choose_B,choose_C,choose_D,choose_E,choose_A_pre,choose_B_pre,choose_C_pre,choose_D_pre,choose_E_pre,choose_A_post,choose_B_post,choose_C_post,choose_D_post,choose_E_post,recovery_status,success_rate_drop
static_rule,1500,0.698,A_degraded,750,0.9186666666666666,0.4106666666666667,0.6646666666666666,-1,0.10666666666666667,1430.5827699026297,1.0955867602808465,0.28,1047,453,0,0,0,527,223,0,0,0,520,230,0,0,0,Not Recovered,0.508
random,1500,0.698,A_degraded,750,0.4693333333333333,0.376,0.4226666666666667,-1,0.11866666666666667,912.6360225066404,1.0952523659306252,0.2,315,298,279,297,311,153,151,124,155,167,162,147,155,142,144,Not Recovered,0.09333333333333332
random_topL,1500,0.698,A_degraded,750,0.39066666666666666,0.3466666666666667,0.36866666666666664,-1,0.13066666666666665,898.3947379237231,1.0888788426763436,0.0,143,148,349,510,350,79,71,179,250,171,64,77,170,260,179,Not Recovered,0.043999999999999984
linucb,1500,0.698,A_degraded,750,0.49733333333333335,0.48133333333333334,0.48933333333333334,-1,0.08133333333333333,781.6568599140495,0.49922343324251983,0.0,5,448,161,714,172,5,218,86,355,86,0,230,75,359,86,Not Recovered,0.016000000000000014
linucb_frozen,1500,0.698,A_degraded,750,0.42933333333333334,0.49066666666666664,0.46,-1,0.07066666666666667,772.8619049356436,0.5153478260869683,0.0,4,449,181,727,139,4,219,99,326,102,0,230,82,401,37,Not Recovered,-0.061333333333333295
