t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
59,linucb_frozen,hard,C,0.75,0.9814719999999999,1024.3631150544275,0.35,0,0,0.26,0.0
60,linucb_frozen,simple,B,0.95,0.7046070725491655,518.2961948376808,0.1,0,0,0.26,0.0
61,linucb_frozen,hard,E,0.9,0.47060781563181064,949.3969345409671,0.6,0,0,0.26,0.0
62,linucb_frozen,hard,D,0.55,0.6049061733525898,525.4932078451293,0.22,0,0,0.26,0.0
63,linucb_frozen,hard,C,0.75,0.8885842043699199,1009.2687846126844,0.35,0,0,0.26,0.0
64,linucb_frozen,simple,A,0.8,0.3051493559116567,1045.1344559409383,1.0,0,0,0.26,0.0
65,linucb_frozen,simple,B,0.95,0.6718436409872077,527.955738316332,0.1,1,0,0.28,1.0
66,linucb_frozen,hard,C,0.75,0.9055452549203782,832.3980709706561,0.35,0,0,0.28,0.0
67,linucb_frozen,hard,C,0.75,1.0,1104.3066947625366,0.35,0,0,0.28,0.0
68,linucb_frozen,hard,C,0.75,1.0,1019.0366346959935,0.35,0,0,0.26,0.0
69,linucb_frozen,hard,C,0.75,1.0,1243.0041466131195,0.35,0,0,0.26,0.0
70,linucb_frozen,hard,D,0.55,0.51754514420559,487.88091583469424,0.22,0,0,0.26,0.0
71,linucb_frozen,simple,B,0.95,0.6120069325543018,451.87035713649203,0.1,1,0,0.28,1.0
72,linucb_frozen,simple,B,0.95,0.8385661006477856,642.7630074118907,0.1,1,0,0.3,1.0
73,linucb_frozen,hard,E,0.9,0.40149653153602916,993.3923903834502,0.6,0,0,0.28,0.0
74,linucb_frozen,hard,D,0.55,0.6103694215706232,527.38370978536,0.22,1,0,0.28,1.0
75,linucb_frozen,hard,D,0.55,0.8371250909821484,635.6509660756179,0.22,0,0,0.28,0.0
76,linucb_frozen,simple,B,0.95,0.8028841996117699,564.4187384811444,0.1,1,0,0.3,1.0
77,linucb_frozen,hard,C,0.75,0.6596345248055295,778.1375954333499,0.35,0,0,0.28,0.0
78,linucb_frozen,hard,D,0.55,0.8704773100017866,709.1904632626139,0.22,0,0,0.28,0.0
79,linucb_frozen,hard,D,0.55,1.0,863.7459645672674,0.22,1,0,0.3,1.0
80,linucb_frozen,hard,D,0.55,1.0,867.9081148352423,0.22,1,0,0.32,1.0
81,linucb_frozen,hard,D,0.55,1.0,868.1110395896918,0.22,1,0,0.32,1.0
82,linucb_frozen,hard,D,0.55,1.0,926.142155742219,0.22,1,0,0.34,1.0
83,linucb_frozen,simple,B,0.95,0.628119179092326,481.53834112528233,0.1,0,0,0.32,0.0
84,linucb_frozen,hard,D,0.55,1.0,809.3703004462545,0.22,0,0,0.32,0.0
85,linucb_frozen,hard,D,0.55,1.0,773.1859815730122,0.22,1,0,0.34,1.0
86,linucb_frozen,simple,B,0.95,0.7280456332144055,506.337392736984,0.1,0,0,0.32,0.0
87,linucb_frozen,hard,C,0.75,0.4837088589678382,651.0562520086485,0.35,0,0,0.32,0.0
88,linucb_frozen,hard,E,0.9,0.3590094925673783,791.4164283504401,0.6,0,0,0.3,0.0
89,linucb_frozen,hard,D,0.55,0.8996953599999999,711.0454137246858,0.22,0,0,0.3,0.0
90,linucb_frozen,hard,D,0.55,1.0,847.1484705741344,0.22,1,0,0.3,1.0
91,linucb_frozen,hard,D,0.55,1.0,762.1171310704171,0.22,1,0,0.3,1.0
92,linucb_frozen,simple,B,0.95,0.638107367430015,519.6314938714728,0.1,1,0,0.32,1.0
93,linucb_frozen,hard,D,0.55,1.0,779.9772611828218,0.22,0,0,0.32,0.0
94,linucb_frozen,hard,D,0.55,1.0,833.6229779044522,0.22,1,0,0.34,1.0
95,linucb_frozen,hard,D,0.55,1.0,844.0728686488529,0.22,1,0,0.36,1.0
96,linucb_frozen,simple,B,0.95,0.6826700274295951,537.4194125693618,0.1,1,0,0.38,1.0
97,linucb_frozen,hard,D,0.55,1.0,729.9844080493039,0.22,0,0,0.38,0.0
98,linucb_frozen,simple,B,0.95,0.8286596692414785,596.3392425026747,0.1,1,0,0.4,1.0
99,linucb_frozen,simple,B,0.95,1.0,509.4190917557488,0.1,1,0,0.42,1.0
100,linucb_frozen,hard,C,0.75,0.3918034028514065,668.8237487564925,0.35,0,0,0.42,0.0
101,linucb_frozen,simple,B,0.95,1.0,628.7381275124588,0.1,1,0,0.44,1.0
102,linucb_frozen,hard,E,0.9,0.3599602371697175,805.87707560788,0.6,0,0,0.44,0.0
103,linucb_frozen,hard,D,0.55,0.764404086784,640.4486740836967,0.22,0,0,0.42,0.0
104,linucb_frozen,hard,C,0.75,0.5349626827221993,578.795047717722,0.35,0,0,0.42,0.0
105,linucb_frozen,hard,D,0.55,0.8919545248055296,671.4634696795474,0.22,0,0,0.42,0.0
106,linucb_frozen,hard,D,0.55,1.0,765.3915620045775,0.22,0,0,0.42,0.0
107,linucb_frozen,hard,D,0.55,1.0,802.7035677840777,0.22,1,0,0.42,1.0
108,linucb_frozen,hard,D,0.55,1.0,903.3732361988934,0.22,1,0,0.42,1.0
109,linucb_frozen,simple,B,0.95,0.6596345248055295,508.70833436500845,0.1,1,0,0.44,1.0
110,linucb_frozen,simple,B,0.95,0.880478381828866,575.2728472190182,0.1,1,0,0.46,1.0
111,linucb_frozen,hard,C,0.75,0.5186261933971471,709.2191730852104,0.35,0,0,0.46,0.0
112,linucb_frozen,hard,D,0.55,0.8996953599999999,775.7995323325356,0.22,1,0,0.48,1.0
113,linucb_frozen,hard,D,0.55,1.0,800.197284966184,0.22,1,0,0.5,1.0
114,linucb_frozen,simple,B,0.95,0.8280188001630793,615.1118501539536,0.1,1,0,0.52,1.0
115,linucb_frozen,simple,B,0.95,1.0,624.4711485144566,0.1,0,0,0.5,0.0
116,linucb_frozen,hard,D,0.55,0.9814719999999999,794.0912009761072,0.22,1,0,0.52,1.0
117,linucb_frozen,hard,D,0.55,1.0,867.8081503566233,0.22,1,0,0.54,1.0
118,linucb_frozen,hard,D,0.55,1.0,840.3423307304884,0.22,0,0,0.54,0.0
119,linucb_frozen,hard,D,0.55,1.0,773.6740667107417,0.22,0,0,0.54,0.0
120,linucb_frozen,simple,B,0.95,0.8277319167999999,588.0754131721136,0.1,0,0,0.54,0.0
121,linucb_frozen,hard,D,0.55,1.0,816.4878948283881,0.22,0,0,0.52,0.0
122,linucb_frozen,simple,B,0.95,0.9409955963699199,664.2908830167752,0.1,1,0,0.52,1.0
123,linucb_frozen,hard,C,0.75,0.41185271056936135,608.6779900051655,0.35,0,0,0.52,0.0
124,linucb_frozen,hard,E,0.9,0.321620877522044,776.8905109909724,0.6,0,0,0.5,0.0
125,linucb_frozen,hard,C,0.75,0.6189387390649135,810.2567625057178,0.35,0,0,0.5,0.0
