t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
66,static_rule,hard,A,0.95,0.9814719999999999,1571.832820261364,1.0,1,0,0.94,0.0
67,static_rule,hard,A,0.95,1.0,1920.7978531158662,1.0,1,0,0.94,0.0
68,static_rule,hard,A,0.95,1.0,2081.4446001874517,1.0,1,0,0.94,0.0
69,static_rule,hard,A,0.95,1.0,1819.8225460284084,1.0,1,0,0.94,0.0
70,static_rule,hard,A,0.95,1.0,2167.5036542400194,1.0,1,0,0.94,0.0
71,static_rule,simple,B,0.95,0.7346096114652778,476.03673897001215,0.1,1,0,0.94,0.0
72,static_rule,simple,B,0.95,0.9464564580894446,599.1145943024837,0.1,1,0,0.94,0.0
73,static_rule,hard,A,0.95,0.9814719999999999,1661.674528303618,1.0,1,0,0.94,0.0
74,static_rule,hard,A,0.95,1.0,1819.8593681536995,1.0,1,0,0.94,0.0
75,static_rule,hard,A,0.95,1.0,1867.5936760943493,1.0,1,0,0.94,0.0
76,static_rule,simple,B,0.95,0.8675855463582745,567.0549541864605,0.1,1,0,0.94,0.0
77,static_rule,hard,A,0.95,1.0,1587.0914444914365,1.0,1,0,0.94,0.0
78,static_rule,hard,A,0.95,1.0,1866.467821467529,1.0,0,0,0.94,0.0
79,static_rule,hard,A,0.95,1.0,1788.8897371615858,1.0,1,0,0.94,0.0
80,static_rule,hard,A,0.95,1.0,1784.517053404948,1.0,1,0,0.96,0.0
81,static_rule,hard,A,0.95,1.0,1691.453714038428,1.0,1,0,0.96,0.0
82,static_rule,hard,A,0.95,1.0,2001.8625518428926,1.0,1,0,0.96,0.0
83,static_rule,simple,B,0.95,0.6545610405598906,496.5596963797052,0.1,1,0,0.96,0.0
84,static_rule,hard,A,0.95,1.0,1751.9695874304189,1.0,1,0,0.96,0.0
85,static_rule,hard,A,0.95,1.0,1834.863637936603,1.0,1,0,0.96,0.0
86,static_rule,simple,B,0.95,0.7460650214324298,599.4347919530612,0.1,1,0,0.96,0.0
87,static_rule,hard,A,0.95,1.0,1590.0902910555205,1.0,1,0,0.96,0.0
88,static_rule,hard,A,0.95,1.0,1871.2936173476985,1.0,1,0,0.96,0.0
89,static_rule,hard,A,0.95,1.0,1499.9603057513684,1.0,1,0,0.96,0.0
90,static_rule,hard,A,0.95,1.0,2005.7017892240383,1.0,1,0,0.96,0.0
91,static_rule,hard,A,0.95,1.0,1743.202805507353,1.0,1,0,0.96,0.0
92,static_rule,simple,B,0.95,0.646475644959813,477.59043957865526,0.1,0,0,0.94,0.0
93,static_rule,hard,A,0.95,1.0,1826.1730632586755,1.0,0,0,0.92,0.0
94,static_rule,hard,A,0.95,1.0,1924.1664444842752,1.0,1,0,0.92,0.0
95,static_rule,hard,A,0.95,1.0,2008.2194838577757,1.0,1,0,0.92,0.0
96,static_rule,simple,B,0.95,0.6876884446354072,582.9985401714637,0.1,1,0,0.92,0.0
97,static_rule,hard,A,0.95,1.0,1785.712277152627,1.0,1,0,0.92,0.0
98,static_rule,simple,B,0.95,0.8325459315256594,556.4904818665462,0.1,1,0,0.92,0.0
99,static_rule,simple,B,0.95,1.0,587.8404876559019,0.1,1,0,0.92,0.0
100,static_rule,hard,A,0.95,0.9814719999999999,1682.5095550252736,1.0,1,0,0.92,0.0
101,static_rule,simple,B,0.95,1.0,613.1519740739111,0.1,1,0,0.92,0.0
102,static_rule,hard,A,0.95,1.0,1748.2387046723484,1.0,1,0,0.92,0.0
103,static_rule,hard,A,0.95,1.0,1793.9762927111103,1.0,1,0,0.92,0.0
104,static_rule,hard,A,0.95,1.0,1845.8043026630985,1.0,1,0,0.92,0.0
105,static_rule,hard,A,0.95,1.0,1855.8274530263318,1.0,1,0,0.92,0.0
