shock_type,shock_point,policy,n,p_hard,success_rate_pre_shock,success_rate_post_shock,success_rate_overall,success_rate_drop,recovery_time,recovery_status,deadlock_rate,worst_rolling_window,avg_latency_ms,total_cost,cost_per_correct,choose_A,choose_B,choose_C,choose_D,choose_E,choose_F,choose_G,choose_H,choose_I,choose_J,choose_A_pre,choose_B_pre,choose_C_pre,choose_D_pre,choose_E_pre,choose_F_pre,choose_G_pre,choose_H_pre,choose_I_pre,choose_J_pre,choose_A_post,choose_B_post,choose_C_post,choose_D_post,choose_E_post,choose_F_post,choose_G_post,choose_H_post,choose_I_post,choose_J_post
A_degraded,50,static_rule,100,0.56,0.54,0.58,0.56,-0.039999999999999925,0,Recovered,0.04,0.3333333333333333,3656.2657713890076,9.99999999999998,0.17857142857142821,56,44,0,0,0,0,0,0,0,0,27,23,0,0,0,0,0,0,0,0,29,21,0,0,0,0,0,0,0,0
A_degraded,50,random,100,0.56,0.68,0.78,0.73,-0.09999999999999998,0,Recovered,0.0,0.6,2004.538881778717,26.45000000000002,0.36232876712328793,8,9,14,10,10,6,10,10,14,9,3,5,5,7,3,3,7,7,6,4,5,4,9,3,7,3,3,3,8,5
A_degraded,50,random_topL,100,0.56,0.8,0.66,0.73,0.14,-1,Not Recovered,0.02,0.0,1413.1790661811829,38.30000000000003,0.5246575342465758,16,0,0,16,23,17,0,14,14,0,12,0,0,5,15,7,0,3,8,0,4,0,0,11,8,10,0,11,6,0
A_degraded,50,linucb,100,0.56,0.84,0.94,0.89,-0.09999999999999998,0,Recovered,0.0,0.0,1544.0538144111633,40.25000000000006,0.4522471910112366,44,0,0,25,31,0,0,0,0,0,23,0,0,14,13,0,0,0,0,0,21,0,0,11,18,0,0,0,0,0
A_degraded,50,linucb_frozen,100,0.56,0.86,0.6,0.73,0.26,-1,Not Recovered,0.02,0.0,1957.0121884346008,52.60000000000004,0.7205479452054799,44,0,0,44,12,0,0,0,0,0,23,0,0,15,12,0,0,0,0,0,21,0,0,29,0,0,0,0,0,0
