t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update,error_type
53,sop_strong,easy,D,0.5,1.0,74.51224327087402,0.0,0,0,0.0,74.51224327087402,0.0,logic_error
54,sop_strong,hard,D,0.95,1.0,68.8018798828125,0.0,0,0,0.0,68.8018798828125,0.0,logic_error
55,sop_strong,easy,D,0.5,1.0,68.57490539550781,0.0,0,0,0.0,68.57490539550781,0.0,logic_error
56,sop_strong,hard,D,0.95,1.0,79.81610298156738,0.0,0,0,0.0,79.81610298156738,0.0,logic_error
57,sop_strong,easy,D,0.5,1.0,73.52900505065918,0.0,0,0,0.0,73.52900505065918,0.0,logic_error
58,sop_strong,easy,D,0.5,1.0,67.9166316986084,0.0,0,0,0.0,67.9166316986084,0.0,logic_error
59,sop_strong,hard,D,0.95,1.0,66.39909744262695,0.0,0,0,0.0,66.39909744262695,0.0,logic_error
60,sop_strong,hard,D,0.95,1.0,65.66500663757324,0.0,0,0,0.0,65.66500663757324,0.0,logic_error
61,sop_strong,easy,D,0.5,1.0,62.9119873046875,0.0,0,0,0.0,62.9119873046875,0.0,logic_error
62,sop_strong,hard,D,0.95,1.0,67.67797470092773,0.0,0,0,0.0,67.67797470092773,0.0,logic_error
63,sop_strong,easy,D,0.5,1.0,60.88900566101074,0.0,0,0,0.0,60.88900566101074,0.0,logic_error
64,sop_strong,easy,D,0.5,1.0,66.01119041442871,0.0,0,0,0.0,66.01119041442871,0.0,logic_error
65,sop_strong,hard,D,0.95,1.0,66.11084938049316,0.0,0,0,0.0,66.11084938049316,0.0,logic_error
66,sop_strong,hard,D,0.95,1.0,59.36908721923828,0.0,0,0,0.0,59.36908721923828,0.0,logic_error
67,sop_strong,easy,D,0.5,1.0,76.99465751647949,0.0,0,0,0.0,76.99465751647949,0.0,logic_error
68,sop_strong,easy,D,0.5,1.0,65.58418273925781,0.0,0,0,0.0,65.58418273925781,0.0,logic_error
69,sop_strong,easy,D,0.5,1.0,167.49024391174316,0.0,0,0,0.0,167.49024391174316,0.0,logic_error
70,sop_strong,hard,D,0.95,1.0,66.35117530822754,0.0,0,0,0.0,66.35117530822754,0.0,logic_error
71,sop_strong,hard,D,0.95,1.0,62.93678283691406,0.0,0,0,0.0,62.93678283691406,0.0,logic_error
72,sop_strong,hard,D,0.95,1.0,66.05076789855957,0.0,0,0,0.0,66.05076789855957,0.0,logic_error
73,sop_strong,hard,D,0.95,1.0,65.40894508361816,0.0,0,0,0.0,65.40894508361816,0.0,logic_error
74,sop_strong,hard,D,0.95,1.0,58.73298645019531,0.0,0,0,0.0,58.73298645019531,0.0,logic_error
75,sop_strong,easy,D,0.5,1.0,57.69085884094238,0.0,0,0,0.0,57.69085884094238,0.0,logic_error
76,sop_strong,easy,D,0.5,1.0,65.73200225830078,0.0,0,0,0.0,65.73200225830078,0.0,logic_error
77,sop_strong,hard,D,0.95,1.0,57.450056076049805,0.0,0,0,0.0,57.450056076049805,0.0,logic_error
78,sop_strong,hard,D,0.95,1.0,57.77406692504883,0.0,0,0,0.0,57.77406692504883,0.0,logic_error
79,sop_strong,hard,D,0.95,1.0,72.20697402954102,0.0,0,0,0.0,72.20697402954102,0.0,logic_error
80,sop_strong,easy,D,0.5,1.0,68.65286827087402,0.0,0,0,0.0,68.65286827087402,0.0,logic_error
81,sop_strong,hard,D,0.95,1.0,59.23604965209961,0.0,0,0,0.0,59.23604965209961,0.0,logic_error
82,sop_strong,hard,D,0.95,1.0,57.47389793395996,0.0,0,0,0.0,57.47389793395996,0.0,logic_error
83,sop_strong,easy,D,0.5,1.0,60.06598472595215,0.0,0,0,0.0,60.06598472595215,0.0,logic_error
