policy,n,p_hard,topL,success_rate,total_cost,avg_cost,avg_latency_ms,fallback_rate,choose_A,choose_B,choose_C,choose_D,choose_E,choose_F,choose_G
sop_strong,100,0.39,2,0.63,0.032019749999999986,0.0003201974999999999,2241.0138273239136,0.0,0,0,0,100,0,0,0
sop_rule,100,0.39,2,0.79,0.020125550000000006,0.00020125550000000007,1565.5362939834595,0.07,61,0,0,39,0,0,0
random,100,0.39,2,0.59,0.02348325,0.0002348325,4430.311987400055,0.32,29,32,0,21,0,18,0
linucb,100,0.39,2,0.68,0.01904485,0.0001904485,2746.257116794586,0.2,43,18,0,24,0,15,0
