t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update,error_type
0,sop_strong,easy,D,0.5,0.3,1708.1949710845947,0.00028525,1,0,0.00028525,1708.1949710845947,0.0,none
1,sop_strong,hard,D,0.95,0.5640000000000001,2530.089855194092,0.000451,1,0,0.000451,2530.089855194092,0.0,none
2,sop_strong,easy,D,0.5,0.79632,1131.5088272094727,4.6e-05,1,0,4.6e-05,1131.5088272094727,0.0,none
3,sop_strong,easy,D,0.5,1.0,4678.797006607056,0.000542,0,0,0.000542,4678.797006607056,0.0,none
4,sop_strong,hard,D,0.95,1.0,5208.132982254028,0.001063,0,0,0.001063,5208.132982254028,0.0,none
5,sop_strong,hard,D,0.95,1.0,1128.2289028167725,3.925e-05,1,0,3.925e-05,1128.2289028167725,0.0,none
6,sop_strong,hard,D,0.95,1.0,2597.8949069976807,0.000554,0,0,0.000554,2597.8949069976807,0.0,none
7,sop_strong,easy,D,0.5,1.0,1698.756217956543,5.475e-05,1,0,5.475e-05,1698.756217956543,0.0,none
8,sop_strong,easy,D,0.5,1.0,2432.8970909118652,0.0004215,0,0,0.0004215,2432.8970909118652,0.0,none
9,sop_strong,easy,D,0.5,1.0,2498.769998550415,0.00031325,1,0,0.00031325,2498.769998550415,0.0,none
10,sop_strong,easy,D,0.5,1.0,1166.621208190918,5.6e-05,1,0,5.6e-05,1166.621208190918,0.0,none
11,sop_strong,easy,D,0.5,1.0,2646.211862564087,0.000527,0,0,0.000527,2646.211862564087,0.0,none
12,sop_strong,easy,D,0.5,1.0,3238.4490966796875,0.00021475,1,0,0.00021475,3238.4490966796875,0.0,none
13,sop_strong,hard,D,0.95,1.0,1265.019178390503,6.325e-05,1,0,6.325e-05,1265.019178390503,0.0,none
14,sop_strong,easy,D,0.5,1.0,2852.7517318725586,0.00052775,0,0,0.00052775,2852.7517318725586,0.0,none
15,sop_strong,hard,D,0.95,1.0,2680.5429458618164,0.000498,1,0,0.000498,2680.5429458618164,0.0,none
16,sop_strong,easy,D,0.5,1.0,1717.9088592529297,9.95e-05,1,0,9.95e-05,1717.9088592529297,0.0,none
17,sop_strong,easy,D,0.5,1.0,1765.059232711792,0.0001595,1,0,0.0001595,1765.059232711792,0.0,none
18,sop_strong,easy,D,0.5,1.0,2891.3609981536865,0.000521,0,0,0.000521,2891.3609981536865,0.0,none
19,sop_strong,easy,D,0.5,1.0,1947.709083557129,0.0001615,1,0,0.0001615,1947.709083557129,0.0,none
20,sop_strong,hard,D,0.95,1.0,3219.111204147339,0.00032975,1,0,0.00032975,3219.111204147339,0.0,none
21,sop_strong,hard,D,0.95,1.0,1704.8749923706055,0.0004205,1,0,0.0004205,1704.8749923706055,0.0,none
22,sop_strong,hard,D,0.95,1.0,1906.7370891571045,0.0003195,1,0,0.0003195,1906.7370891571045,0.0,none
23,sop_strong,hard,D,0.95,1.0,1860.6479167938232,0.00021475,1,0,0.00021475,1860.6479167938232,0.0,none
24,sop_strong,easy,D,0.5,1.0,2397.468090057373,0.000529,0,0,0.000529,2397.468090057373,0.0,none
25,sop_strong,easy,D,0.5,1.0,1458.8978290557861,0.00023349999999999998,1,0,0.00023349999999999998,1458.8978290557861,0.0,none
26,sop_strong,hard,D,0.95,1.0,1382.3978900909424,0.00018575000000000002,0,0,0.00018575000000000002,1382.3978900909424,0.0,none
27,sop_strong,easy,D,0.5,1.0,2002.4480819702148,0.00048275,1,0,0.00048275,2002.4480819702148,0.0,none
28,sop_strong,easy,D,0.5,1.0,2709.563970565796,0.0005402499999999999,0,0,0.0005402499999999999,2709.563970565796,0.0,none
29,sop_strong,hard,D,0.95,1.0,1343.5149192810059,0.000161,1,0,0.000161,1343.5149192810059,0.0,none
30,sop_strong,hard,D,0.95,1.0,4472.813129425049,0.0005549999999999999,0,0,0.0005549999999999999,4472.813129425049,0.0,none
31,sop_strong,hard,D,0.95,1.0,1518.631935119629,0.00011025,1,0,0.00011025,1518.631935119629,0.0,none
32,sop_strong,easy,D,0.5,1.0,3219.2790508270264,0.00053325,0,0,0.00053325,3219.2790508270264,0.0,none
33,sop_strong,hard,D,0.95,1.0,2781.7981243133545,0.00055525,0,0,0.00055525,2781.7981243133545,0.0,none
34,sop_strong,easy,D,0.5,1.0,1065.4962062835693,4.1e-05,1,0,4.1e-05,1065.4962062835693,0.0,none
35,sop_strong,easy,D,0.5,1.0,2259.9048614501953,0.00048575,1,0,0.00048575,2259.9048614501953,0.0,none
36,sop_strong,easy,D,0.5,1.0,6135.822772979736,0.00053075,0,0,0.00053075,6135.822772979736,0.0,none
37,sop_strong,easy,D,0.5,1.0,1233.853816986084,4.225e-05,1,0,4.225e-05,1233.853816986084,0.0,none
38,sop_strong,hard,D,0.95,1.0,1856.3909530639648,0.0004255,1,0,0.0004255,1856.3909530639648,0.0,none
39,sop_strong,hard,D,0.95,1.0,2614.6509647369385,6.625e-05,1,0,6.625e-05,2614.6509647369385,0.0,none
40,sop_strong,hard,D,0.95,1.0,2766.9382095336914,0.00053725,0,0,0.00053725,2766.9382095336914,0.0,none
41,sop_strong,hard,D,0.95,1.0,1793.9348220825195,0.0002095,1,0,0.0002095,1793.9348220825195,0.0,none
42,sop_strong,hard,D,0.95,1.0,1212.5999927520752,7.3e-05,1,0,7.3e-05,1212.5999927520752,0.0,none
43,sop_strong,hard,D,0.95,1.0,1598.2918739318848,0.0002945,1,0,0.0002945,1598.2918739318848,0.0,none
44,sop_strong,easy,D,0.5,1.0,1374.1381168365479,0.0001595,0,0,0.0001595,1374.1381168365479,0.0,none
45,sop_strong,hard,D,0.95,1.0,1921.0710525512695,0.00030450000000000003,1,0,0.00030450000000000003,1921.0710525512695,0.0,none
46,sop_strong,easy,D,0.5,1.0,2082.618236541748,0.00030050000000000004,1,0,0.00030050000000000004,2082.618236541748,0.0,none
47,sop_strong,hard,D,0.95,1.0,1515.0232315063477,0.00021525,1,0,0.00021525,1515.0232315063477,0.0,none
48,sop_strong,hard,D,0.95,1.0,2662.611961364746,0.00046325,1,0,0.00046325,2662.611961364746,0.0,none
49,sop_strong,easy,D,0.5,1.0,3580.1777839660645,0.0003005,1,0,0.0003005,3580.1777839660645,0.0,none
50,sop_strong,easy,D,0.5,1.0,2661.7298126220703,0.0005279999999999999,0,0,0.0005279999999999999,2661.7298126220703,0.0,none
51,sop_strong,hard,D,0.95,1.0,3160.5827808380127,0.00057325,0,0,0.00057325,3160.5827808380127,0.0,none
52,sop_strong,easy,D,0.5,1.0,1164.4432544708252,5.2000000000000004e-05,0,0,5.2000000000000004e-05,1164.4432544708252,0.0,none
53,sop_strong,easy,D,0.5,1.0,2021.888017654419,0.00020150000000000002,1,0,0.00020150000000000002,2021.888017654419,0.0,none
54,sop_strong,easy,D,0.5,1.0,3877.0830631256104,0.000941,1,0,0.000941,3877.0830631256104,0.0,none
55,sop_strong,easy,D,0.5,1.0,1943.9611434936523,5.1500000000000005e-05,1,0,5.1500000000000005e-05,1943.9611434936523,0.0,none
56,sop_strong,easy,D,0.5,1.0,3719.243049621582,0.000538,0,0,0.000538,3719.243049621582,0.0,none
57,sop_strong,easy,D,0.5,1.0,1959.0542316436768,0.00030025,1,0,0.00030025,1959.0542316436768,0.0,none
58,sop_strong,easy,D,0.5,1.0,1622.1320629119873,0.000289,0,0,0.000289,1622.1320629119873,0.0,none
59,sop_strong,easy,D,0.5,1.0,1689.3279552459717,0.0001755,1,0,0.0001755,1689.3279552459717,0.0,none
60,sop_strong,easy,D,0.5,1.0,2189.1369819641113,0.00028450000000000003,0,0,0.00028450000000000003,2189.1369819641113,0.0,none
61,sop_strong,easy,D,0.5,1.0,3386.9712352752686,0.0005375,0,0,0.0005375,3386.9712352752686,0.0,none
62,sop_strong,easy,D,0.5,1.0,1011.0278129577637,2.55e-05,0,0,2.55e-05,1011.0278129577637,0.0,none
63,sop_strong,hard,D,0.95,1.0,1924.8170852661133,0.0002145,1,0,0.0002145,1924.8170852661133,0.0,none
64,sop_strong,easy,D,0.5,1.0,2547.0709800720215,0.00029174999999999996,1,0,0.00029174999999999996,2547.0709800720215,0.0,none
65,sop_strong,hard,D,0.95,1.0,2713.90700340271,0.00040525,1,0,0.00040525,2713.90700340271,0.0,none
66,sop_strong,easy,D,0.5,1.0,2493.374824523926,6e-05,1,0,6e-05,2493.374824523926,0.0,none
67,sop_strong,easy,D,0.5,1.0,1945.6021785736084,0.0001595,1,0,0.0001595,1945.6021785736084,0.0,none
68,sop_strong,hard,D,0.95,1.0,1787.0581150054932,0.00042275,1,0,0.00042275,1787.0581150054932,0.0,none
69,sop_strong,hard,D,0.95,1.0,2670.7189083099365,0.00061275,0,0,0.00061275,2670.7189083099365,0.0,none
70,sop_strong,easy,D,0.5,1.0,1441.1189556121826,0.00015825,0,0,0.00015825,1441.1189556121826,0.0,none
71,sop_strong,hard,D,0.95,1.0,2646.5039253234863,0.00055525,0,0,0.00055525,2646.5039253234863,0.0,none
72,sop_strong,easy,D,0.5,1.0,1145.7710266113281,6.049999999999999e-05,1,0,6.049999999999999e-05,1145.7710266113281,0.0,none
73,sop_strong,easy,D,0.5,1.0,1538.1388664245605,0.00022075,1,0,0.00022075,1538.1388664245605,0.0,none
74,sop_strong,hard,D,0.95,1.0,1724.165916442871,0.00020325,1,0,0.00020325,1724.165916442871,0.0,none
75,sop_strong,easy,D,0.5,1.0,2471.285104751587,0.0005295,0,0,0.0005295,2471.285104751587,0.0,none
76,sop_strong,easy,D,0.5,1.0,1097.6839065551758,0.000115,1,0,0.000115,1097.6839065551758,0.0,none
77,sop_strong,easy,D,0.5,1.0,2915.1298999786377,0.000512,1,0,0.000512,2915.1298999786377,0.0,none
78,sop_strong,easy,D,0.5,1.0,3032.484769821167,0.00055075,0,0,0.00055075,3032.484769821167,0.0,none
79,sop_strong,easy,D,0.5,1.0,2049.949884414673,0.00042399999999999995,1,0,0.00042399999999999995,2049.949884414673,0.0,none
80,sop_strong,easy,D,0.5,1.0,3183.274984359741,0.0005279999999999999,0,0,0.0005279999999999999,3183.274984359741,0.0,none
81,sop_strong,hard,D,0.95,1.0,2375.5578994750977,0.000401,1,0,0.000401,2375.5578994750977,0.0,none
82,sop_strong,easy,D,0.5,1.0,2326.930284500122,0.0003045,1,0,0.0003045,2326.930284500122,0.0,none
83,sop_strong,hard,D,0.95,1.0,2460.6101512908936,0.00045674999999999996,1,0,0.00045674999999999996,2460.6101512908936,0.0,none
