phase,task_id,node_id,subtask_count,acc,ok,cum_acc
cold_start,medical_qa_228,agent-openrouter-deepseek-v3-006,0,0,1,0.0
cold_start,medical_qa_51,agent-openrouter-deepseek-v3-007,0,1,1,0.5
cold_start,medical_qa_563,agent-openrouter-deepseek-v3-008,0,1,1,0.6666666666666666
cold_start,medical_qa_501,agent-openrouter-deepseek-v3-009,0,0,1,0.5
cold_start,medical_qa_457,agent-openrouter-deepseek-v3-010,0,0,1,0.4
cold_start,medical_qa_285,agent-openrouter-deepseek-v3-006,0,0,1,0.3333333333333333
cold_start,medical_qa_209,agent-openrouter-deepseek-v3-007,0,1,1,0.42857142857142855
cold_start,medical_qa_1116,agent-openrouter-deepseek-v3-008,0,1,1,0.5
cold_start,medical_qa_178,agent-openrouter-deepseek-v3-009,0,0,1,0.4444444444444444
cold_start,medical_qa_1209,agent-openrouter-deepseek-v3-010,0,1,1,0.5
cold_start,medical_qa_864,agent-openrouter-deepseek-v3-006,0,1,1,0.5454545454545454
cold_start,medical_qa_65,agent-openrouter-deepseek-v3-007,0,1,1,0.5833333333333334
cold_start,medical_qa_61,agent-openrouter-deepseek-v3-008,0,1,1,0.6153846153846154
cold_start,medical_qa_191,agent-openrouter-deepseek-v3-009,0,1,1,0.6428571428571429
cold_start,medical_qa_447,agent-openrouter-deepseek-v3-010,0,0,1,0.6
cold_start,medical_qa_476,agent-openrouter-deepseek-v3-006,0,1,1,0.625
cold_start,medical_qa_1034,agent-openrouter-deepseek-v3-007,0,1,1,0.6470588235294118
cold_start,medical_qa_1232,agent-openrouter-deepseek-v3-008,0,0,1,0.6111111111111112
cold_start,medical_qa_54,agent-openrouter-deepseek-v3-009,0,1,1,0.631578947368421
cold_start,medical_qa_1149,agent-openrouter-deepseek-v3-010,0,1,1,0.65
cold_start,medical_qa_407,agent-openrouter-deepseek-v3-006,0,1,1,0.6666666666666666
cold_start,medical_qa_1265,agent-openrouter-deepseek-v3-007,0,0,1,0.6363636363636364
cold_start,medical_qa_859,agent-openrouter-deepseek-v3-008,0,0,1,0.6086956521739131
cold_start,medical_qa_451,agent-openrouter-deepseek-v3-009,0,1,1,0.625
cold_start,medical_qa_919,agent-openrouter-deepseek-v3-010,0,0,1,0.6
cold_start,medical_qa_1206,agent-openrouter-deepseek-v3-006,0,0,1,0.5769230769230769
cold_start,medical_qa_569,agent-openrouter-deepseek-v3-007,0,1,1,0.5925925925925926
cold_start,medical_qa_13,agent-openrouter-deepseek-v3-008,0,0,1,0.5714285714285714
cold_start,medical_qa_326,agent-openrouter-deepseek-v3-009,0,1,1,0.5862068965517241
cold_start,medical_qa_865,agent-openrouter-deepseek-v3-010,0,1,1,0.6
cold_start,medical_qa_696,agent-openrouter-deepseek-v3-006,0,0,1,0.5806451612903226
cold_start,medical_qa_1246,agent-openrouter-deepseek-v3-007,0,0,1,0.5625
cold_start,medical_qa_318,agent-openrouter-deepseek-v3-008,0,1,1,0.5757575757575758
cold_start,medical_qa_440,agent-openrouter-deepseek-v3-009,0,1,1,0.5882352941176471
cold_start,medical_qa_689,agent-openrouter-deepseek-v3-010,0,0,1,0.5714285714285714
cold_start,medical_qa_1266,agent-openrouter-deepseek-v3-006,0,1,1,0.5833333333333334
cold_start,medical_qa_189,agent-openrouter-deepseek-v3-007,0,1,1,0.5945945945945946
cold_start,medical_qa_778,agent-openrouter-deepseek-v3-008,0,0,1,0.5789473684210527
cold_start,medical_qa_198,agent-openrouter-deepseek-v3-009,0,0,1,0.5641025641025641
cold_start,medical_qa_735,agent-openrouter-deepseek-v3-010,0,0,1,0.55
cold_start,medical_qa_704,agent-openrouter-deepseek-v3-006,0,0,1,0.5365853658536586
cold_start,medical_qa_541,agent-openrouter-deepseek-v3-007,0,0,1,0.5238095238095238
cold_start,medical_qa_88,agent-openrouter-deepseek-v3-008,0,1,1,0.5348837209302325
cold_start,medical_qa_940,agent-openrouter-deepseek-v3-009,0,1,1,0.5454545454545454
cold_start,medical_qa_1098,agent-openrouter-deepseek-v3-010,0,1,1,0.5555555555555556
cold_start,medical_qa_255,agent-openrouter-deepseek-v3-006,0,1,1,0.5652173913043478
cold_start,medical_qa_775,agent-openrouter-deepseek-v3-007,0,0,1,0.5531914893617021
cold_start,medical_qa_161,agent-openrouter-deepseek-v3-008,0,1,1,0.5625
cold_start,medical_qa_1130,agent-openrouter-deepseek-v3-009,0,1,1,0.5714285714285714
cold_start,medical_qa_600,agent-openrouter-deepseek-v3-010,0,0,1,0.56
cold_start,medical_qa_740,agent-openrouter-deepseek-v3-006,0,0,1,0.5490196078431373
cold_start,medical_qa_1182,agent-openrouter-deepseek-v3-007,0,0,1,0.5384615384615384
cold_start,medical_qa_393,agent-openrouter-deepseek-v3-008,0,1,1,0.5471698113207547
