t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
61,random_topL,hard,E,0.9,0.6514154539001126,1150.4022774184277,0.6,0,0,0.52,0.0
62,random_topL,hard,E,0.9,0.8732455994320991,1283.6358936716356,0.6,0,0,0.52,0.0
63,random_topL,hard,E,0.9,1.0,1461.9143901371456,0.6,0,0,0.5,0.0
64,random_topL,simple,D,0.85,0.32943336002654855,444.5796495642202,0.22,1,0,0.52,0.0
65,random_topL,simple,D,0.85,0.5899013568233626,526.6403277618567,0.22,1,0,0.54,0.0
66,random_topL,hard,E,0.9,0.9814719999999999,1571.2388495851515,0.6,1,0,0.54,0.0
67,random_topL,hard,A,0.95,0.5976809745647381,1060.1572218657038,1.0,1,0,0.56,0.0
68,random_topL,hard,A,0.95,0.8259592576169696,1558.391016638803,1.0,1,0,0.56,0.0
69,random_topL,hard,E,0.9,0.9688456867839998,1410.4536853214533,0.6,0,0,0.56,0.0
70,random_topL,hard,E,0.9,1.0,1591.5635265241217,0.6,0,0,0.54,0.0
71,random_topL,simple,A,0.8,0.8628681072067514,1475.6818920255103,1.0,1,0,0.54,0.0
72,random_topL,simple,A,0.8,1.0,1546.3074663182895,1.0,1,0,0.56,0.0
73,random_topL,hard,E,0.9,0.9814719999999999,1469.1227520841007,0.6,0,0,0.54,0.0
74,random_topL,hard,A,0.95,1.0,1697.7596965841897,1.0,1,0,0.54,0.0
75,random_topL,hard,A,0.95,1.0,2064.3326937263505,1.0,1,0,0.56,0.0
76,random_topL,simple,B,0.95,0.3697397020718703,384.8588863053452,0.1,1,0,0.58,0.0
77,random_topL,hard,A,0.95,1.0,1923.6146439717434,1.0,1,0,0.6,0.0
78,random_topL,hard,A,0.95,1.0,1764.1395706098183,1.0,1,0,0.6,0.0
79,random_topL,hard,C,0.75,0.3528568721062043,644.3271330515912,0.35,1,0,0.62,0.0
80,random_topL,hard,E,0.9,0.7011036549203781,1216.7582520707556,0.6,0,0,0.6,0.0
81,random_topL,hard,C,0.75,0.5732523617590446,720.583861598942,0.35,0,0,0.58,0.0
82,random_topL,hard,C,0.75,0.8044620783479592,891.3949272514581,0.35,0,0,0.58,0.0
83,random_topL,simple,A,0.8,0.8277319167999999,1433.5492438268725,1.0,0,0,0.56,0.0
84,random_topL,hard,C,0.75,0.9229754334726596,1007.4668558501622,0.35,0,0,0.56,0.0
85,random_topL,hard,A,0.95,0.9409955963699199,1666.7994670720088,1.0,1,0,0.56,0.0
86,random_topL,simple,D,0.85,0.34026386954143706,442.03136145786345,0.22,1,0,0.56,0.0
87,random_topL,hard,E,0.9,0.586523954291716,1118.7556517939329,0.6,0,0,0.56,0.0
88,random_topL,hard,C,0.75,0.8535040848475426,1032.139175944988,0.35,0,0,0.54,0.0
89,random_topL,hard,A,0.95,0.8643106929234738,1498.0718095151049,1.0,1,0,0.56,0.0
90,random_topL,hard,E,0.9,0.6996996521790843,1004.637976679957,0.6,0,0,0.54,0.0
91,random_topL,hard,C,0.75,0.8816391357092246,943.922851558454,0.35,0,0,0.52,0.0
92,random_topL,simple,A,0.8,0.8890035365279456,1357.2173376482747,1.0,1,0,0.54,0.0
93,random_topL,hard,C,0.75,0.9827413466932235,1126.4322152478267,0.35,0,0,0.54,0.0
94,random_topL,hard,E,0.9,0.7196066348054106,1044.1541726742917,0.6,0,0,0.54,0.0
95,random_topL,hard,A,0.95,0.9058310180447722,1615.5022590408041,1.0,1,0,0.54,0.0
