t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,is_shock,rolling_success,reward_used_for_update
80,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
81,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
82,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
83,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
84,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
85,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
86,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
87,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
88,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
89,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
90,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
91,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
92,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
93,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
94,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
95,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
96,linucb,hard,E,0.75,0.0,0.0,0.35,0,0,0.0,0.0
97,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
98,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
99,linucb,simple,A,0.95,0.0,2500.0,0.1,0,0,0.0,0.0
