t,policy,task_difficulty,chosen_agent,match_score,load,latency_ms,call_cost,success,fallback_used,total_cost_this_task,total_latency_this_task,reward_used_for_update
58,static_rule,simple,B,0.95,1.0,710.7755292177648,0.1,1,0,0.1,710.7755292177648,0.0
59,static_rule,simple,B,0.95,1.0,809.8231300696948,0.1,1,0,0.1,809.8231300696948,0.0
60,static_rule,hard,A,0.95,0.7430044680906142,1358.2242507852686,1.0,1,0,1.0,1358.2242507852686,0.0
61,static_rule,hard,A,0.95,0.9538439319197405,1615.3965102367329,1.0,1,0,1.0,1615.3965102367329,0.0
62,static_rule,simple,B,0.95,0.9814719999999999,604.1586217208215,0.1,1,0,0.1,604.1586217208215,0.0
63,static_rule,hard,A,0.95,1.0,1697.6442576311895,1.0,1,0,1.0,1697.6442576311895,0.0
64,static_rule,simple,B,0.95,1.0,709.487743499243,0.1,1,0,0.1,709.487743499243,0.0
65,static_rule,simple,B,0.95,1.0,656.2876869003819,0.1,1,0,0.1,656.2876869003819,0.0
66,static_rule,simple,B,0.95,1.0,685.2645882556338,0.1,1,0,0.1,685.2645882556338,0.0
67,static_rule,simple,B,0.95,1.0,636.8947375123971,0.1,1,0,0.1,636.8947375123971,0.0
68,static_rule,simple,B,0.95,1.0,715.1461130742547,0.1,1,0,0.1,715.1461130742547,0.0
69,static_rule,simple,B,0.95,1.0,657.8634881925415,0.1,1,0,0.1,657.8634881925415,0.0
70,static_rule,simple,B,0.95,1.0,726.9204605451381,0.1,1,0,0.1,726.9204605451381,0.0
71,static_rule,simple,B,0.95,1.0,711.9930379521147,0.1,1,0,0.1,711.9930379521147,0.0
72,static_rule,simple,B,0.95,1.0,699.8452972548546,0.1,1,0,0.1,699.8452972548546,0.0
73,static_rule,simple,B,0.95,1.0,725.2957353076631,0.1,1,0,0.1,725.2957353076631,0.0
74,static_rule,simple,B,0.95,1.0,772.7785058605168,0.1,1,0,0.1,772.7785058605168,0.0
75,static_rule,hard,A,0.95,0.515671155821681,1129.1268797384037,1.0,1,0,1.0,1129.1268797384037,0.0
76,static_rule,simple,B,0.95,1.0,672.408178916796,0.1,1,0,0.1,672.408178916796,0.0
77,static_rule,simple,B,0.95,1.0,756.0968349716228,0.1,1,0,0.1,756.0968349716228,0.0
78,static_rule,simple,B,0.95,1.0,741.1198665513211,0.1,1,0,0.1,741.1198665513211,0.0
79,static_rule,hard,A,0.95,0.6092455994320991,1373.615800300553,1.0,0,0,1.0,1373.615800300553,0.0
80,static_rule,hard,A,0.95,0.8361361275002472,1752.610500922318,1.0,1,0,1.0,1752.610500922318,0.0
81,static_rule,hard,A,0.95,1.0,1915.4743661435946,1.0,1,0,1.0,1915.4743661435946,0.0
82,static_rule,simple,B,0.95,0.8996953599999999,638.9833040180454,0.1,1,0,0.1,638.9833040180454,0.0
83,static_rule,simple,B,0.95,1.0,665.00900528699,0.1,1,0,0.1,665.00900528699,0.0
84,static_rule,simple,B,0.95,1.0,688.7668241336194,0.1,1,0,0.1,688.7668241336194,0.0
85,static_rule,simple,B,0.95,1.0,686.6019021376842,0.1,1,0,0.1,686.6019021376842,0.0
86,static_rule,simple,B,0.95,1.0,748.2648658407583,0.1,1,0,0.1,748.2648658407583,0.0
87,static_rule,hard,A,0.95,0.764404086784,1437.479655447771,1.0,1,0,1.0,1437.479655447771,0.0
88,static_rule,hard,A,0.95,0.9726755963699198,1668.918535413455,1.0,1,0,1.0,1668.918535413455,0.0
89,static_rule,simple,B,0.95,0.9814719999999999,626.0580510569732,0.1,1,0,0.1,626.0580510569732,0.0
90,static_rule,hard,A,0.95,1.0,1852.7855084027944,1.0,1,0,1.0,1852.7855084027944,0.0
91,static_rule,simple,B,0.95,1.0,643.9616367077806,0.1,1,0,0.1,643.9616367077806,0.0
92,static_rule,hard,A,0.95,1.0,1732.880006699607,1.0,1,0,1.0,1732.880006699607,0.0
93,static_rule,simple,B,0.95,1.0,716.8662859094393,0.1,1,0,0.1,716.8662859094393,0.0
94,static_rule,hard,A,0.95,1.0,1643.3675958865097,1.0,1,0,1.0,1643.3675958865097,0.0
95,static_rule,simple,B,0.95,1.0,677.8197605438513,0.1,1,0,0.1,677.8197605438513,0.0
96,static_rule,simple,B,0.95,1.0,751.9950623960533,0.1,1,0,0.1,751.9950623960533,0.0
97,static_rule,simple,B,0.95,1.0,717.4067839558908,0.1,1,0,0.1,717.4067839558908,0.0
98,static_rule,simple,B,0.95,1.0,779.8632376002511,0.1,1,0,0.1,779.8632376002511,0.0
99,static_rule,simple,B,0.95,1.0,780.950364397363,0.1,1,0,0.1,780.950364397363,0.0
100,static_rule,simple,B,0.95,1.0,623.0826599769563,0.1,1,0,0.1,623.0826599769563,0.0
101,static_rule,simple,B,0.95,1.0,733.8634745197825,0.1,1,0,0.1,733.8634745197825,0.0
102,static_rule,simple,B,0.95,1.0,750.181578102615,0.1,1,0,0.1,750.181578102615,0.0
103,static_rule,simple,B,0.95,1.0,731.906996968916,0.1,1,0,0.1,731.906996968916,0.0
104,static_rule,simple,B,0.95,1.0,654.3464582430774,0.1,1,0,0.1,654.3464582430774,0.0
105,static_rule,simple,B,0.95,1.0,630.1929486577272,0.1,1,0,0.1,630.1929486577272,0.0
106,static_rule,simple,B,0.95,1.0,644.6636750027045,0.1,1,0,0.1,644.6636750027045,0.0
107,static_rule,simple,B,0.95,1.0,771.8518733319935,0.1,0,0,0.1,771.8518733319935,0.0
108,static_rule,simple,B,0.95,1.0,761.2919566009107,0.1,0,0,0.1,761.2919566009107,0.0
109,static_rule,simple,B,0.95,1.0,750.763354987228,0.1,1,0,0.1,750.763354987228,0.0
110,static_rule,simple,B,0.95,1.0,803.9024720749615,0.1,0,0,0.1,803.9024720749615,0.0
111,static_rule,hard,A,0.95,0.4138165524602472,1013.9037593994692,1.0,1,0,1.0,1013.9037593994692,0.0
112,static_rule,simple,B,0.95,1.0,696.729136925747,0.1,1,0,0.1,696.729136925747,0.0
113,static_rule,hard,A,0.95,0.6204595382252154,1351.502231029017,1.0,0,0,1.0,1351.502231029017,0.0
114,static_rule,simple,B,0.95,1.0,629.6450593330737,0.1,1,0,0.1,629.6450593330737,0.0
115,static_rule,simple,B,0.95,1.0,698.0176946414148,0.1,1,0,0.1,698.0176946414148,0.0
116,static_rule,hard,A,0.95,0.722825802433414,1363.8004165878015,1.0,1,0,1.0,1363.8004165878015,0.0
117,static_rule,simple,B,0.95,1.0,622.1512211130922,0.1,1,0,0.1,622.1512211130922,0.0
118,static_rule,simple,B,0.95,1.0,714.0629139094892,0.1,1,0,0.1,714.0629139094892,0.0
119,static_rule,simple,B,0.95,1.0,756.8068408989996,0.1,1,0,0.1,756.8068408989996,0.0
120,static_rule,simple,B,0.95,1.0,798.5304464935633,0.1,1,0,0.1,798.5304464935633,0.0
121,static_rule,hard,A,0.95,0.6814582462306836,1425.28757011063,1.0,1,0,1.0,1425.28757011063,0.0
122,static_rule,simple,B,0.95,1.0,675.3113423641136,0.1,1,0,0.1,675.3113423641136,0.0
123,static_rule,simple,B,0.95,1.0,625.8631653178659,0.1,1,0,0.1,625.8631653178659,0.0
124,static_rule,simple,B,0.95,1.0,739.148438920833,0.1,1,0,0.1,739.148438920833,0.0
125,static_rule,simple,B,0.95,1.0,753.4272373355479,0.1,1,0,0.1,753.4272373355479,0.0
126,static_rule,simple,B,0.95,1.0,727.790484486163,0.1,1,0,0.1,727.790484486163,0.0
127,static_rule,hard,A,0.95,0.6164719945221868,1189.0122191577564,1.0,1,0,1.0,1189.0122191577564,0.0
128,static_rule,hard,A,0.95,0.8424953551795245,1504.7688727907346,1.0,1,0,1.0,1504.7688727907346,0.0
129,static_rule,simple,B,0.95,0.9814719999999999,536.028563769045,0.1,1,0,0.1,536.028563769045,0.0
130,static_rule,simple,B,0.95,1.0,818.5535838163541,0.1,1,0,0.1,818.5535838163541,0.0
131,static_rule,simple,B,0.95,1.0,670.2637183682479,0.1,1,0,0.1,670.2637183682479,0.0
132,static_rule,simple,B,0.95,1.0,764.8320053753088,0.1,1,0,0.1,764.8320053753088,0.0
133,static_rule,simple,B,0.95,1.0,741.5275187478695,0.1,0,0,0.1,741.5275187478695,0.0
134,static_rule,simple,B,0.95,1.0,830.7589576637297,0.1,1,0,0.1,830.7589576637297,0.0
135,static_rule,simple,B,0.95,1.0,744.8861952902947,0.1,1,0,0.1,744.8861952902947,0.0
136,static_rule,simple,B,0.95,1.0,721.4247603440305,0.1,1,0,0.1,721.4247603440305,0.0
137,static_rule,hard,A,0.95,0.5666315667055517,1100.7503155770207,1.0,1,0,1.0,1100.7503155770207,0.0
138,static_rule,simple,B,0.95,1.0,661.5504153905254,0.1,0,0,0.1,661.5504153905254,0.0
139,static_rule,simple,B,0.95,1.0,633.1050373585392,0.1,1,0,0.1,633.1050373585392,0.0
140,static_rule,simple,B,0.95,1.0,721.9247029969131,0.1,1,0,0.1,721.9247029969131,0.0
141,static_rule,hard,A,0.95,0.6398063213828499,1168.2994555070752,1.0,1,0,1.0,1168.2994555070752,0.0
142,static_rule,simple,B,0.95,1.0,709.0789821006134,0.1,1,0,0.1,709.0789821006134,0.0
143,static_rule,simple,B,0.95,1.0,769.6679431260817,0.1,1,0,0.1,769.6679431260817,0.0
144,static_rule,simple,B,0.95,1.0,713.8631095984936,0.1,0,0,0.1,713.8631095984936,0.0
145,static_rule,simple,B,0.95,1.0,641.6917442336729,0.1,0,0,0.1,641.6917442336729,0.0
146,static_rule,simple,B,0.95,1.0,863.9472761165567,0.1,1,0,0.1,863.9472761165567,0.0
147,static_rule,simple,B,0.95,1.0,695.451333314958,0.1,1,0,0.1,695.451333314958,0.0
148,static_rule,simple,B,0.95,1.0,787.7977294653173,0.1,1,0,0.1,787.7977294653173,0.0
149,static_rule,simple,B,0.95,1.0,724.0200923845244,0.1,1,0,0.1,724.0200923845244,0.0
150,static_rule,simple,B,0.95,1.0,762.5462019283167,0.1,1,0,0.1,762.5462019283167,0.0
151,static_rule,simple,B,0.95,1.0,630.5424263949255,0.1,1,0,0.1,630.5424263949255,0.0
152,static_rule,simple,B,0.95,1.0,750.8995372812238,0.1,1,0,0.1,750.8995372812238,0.0
153,static_rule,hard,A,0.95,0.43798776883465707,1106.411347034858,1.0,1,0,1.0,1106.411347034858,0.0
154,static_rule,hard,A,0.95,0.6854292365744983,1226.0129314144383,1.0,0,0,1.0,1226.0129314144383,0.0
155,static_rule,hard,A,0.95,0.9031777281855584,1426.11981240383,1.0,1,0,1.0,1426.11981240383,0.0
156,static_rule,simple,B,0.95,0.8996953599999999,651.7790389851581,0.1,1,0,0.1,651.7790389851581,0.0
157,static_rule,simple,B,0.95,1.0,662.1106531904144,0.1,0,0,0.1,662.1106531904144,0.0
158,static_rule,hard,A,0.95,0.9154903327820689,1386.8440381093446,1.0,1,0,1.0,1386.8440381093446,0.0
159,static_rule,simple,B,0.95,1.0,670.1631147758815,0.1,1,0,0.1,670.1631147758815,0.0
160,static_rule,hard,A,0.95,1.0,1577.532155528798,1.0,1,0,1.0,1577.532155528798,0.0
161,static_rule,simple,B,0.95,1.0,587.224753759833,0.1,1,0,0.1,587.224753759833,0.0
162,static_rule,simple,B,0.95,1.0,638.4505978985516,0.1,1,0,0.1,638.4505978985516,0.0
163,static_rule,simple,B,0.95,1.0,698.4034029941615,0.1,1,0,0.1,698.4034029941615,0.0
164,static_rule,simple,B,0.95,1.0,625.2582301881496,0.1,1,0,0.1,625.2582301881496,0.0
165,static_rule,simple,B,0.95,1.0,690.0526714913857,0.1,1,0,0.1,690.0526714913857,0.0
166,static_rule,simple,B,0.95,1.0,822.9943266722511,0.1,1,0,0.1,822.9943266722511,0.0
167,static_rule,simple,B,0.95,1.0,653.4765108159379,0.1,1,0,0.1,653.4765108159379,0.0
168,static_rule,simple,B,0.95,1.0,552.8185920514812,0.1,1,0,0.1,552.8185920514812,0.0
169,static_rule,simple,B,0.95,1.0,649.3837536424489,0.1,1,0,0.1,649.3837536424489,0.0
170,static_rule,simple,B,0.95,1.0,698.5558039059707,0.1,0,0,0.1,698.5558039059707,0.0
171,static_rule,simple,B,0.95,1.0,749.3890286714742,0.1,1,0,0.1,749.3890286714742,0.0
172,static_rule,simple,B,0.95,1.0,808.8455632196341,0.1,1,0,0.1,808.8455632196341,0.0
173,static_rule,simple,B,0.95,1.0,684.8318171011263,0.1,1,0,0.1,684.8318171011263,0.0
174,static_rule,simple,B,0.95,1.0,763.8199505935662,0.1,0,0,0.1,763.8199505935662,0.0
175,static_rule,simple,B,0.95,1.0,806.9049506471581,0.1,1,0,0.1,806.9049506471581,0.0
176,static_rule,simple,B,0.95,1.0,722.2362380483006,0.1,0,0,0.1,722.2362380483006,0.0
177,static_rule,simple,B,0.95,1.0,728.0316852344025,0.1,0,0,0.1,728.0316852344025,0.0
178,static_rule,hard,A,0.95,0.40015856616501755,1103.461789742001,1.0,1,0,1.0,1103.461789742001,0.0
179,static_rule,simple,B,0.95,1.0,718.4117533635786,0.1,1,0,0.1,718.4117533635786,0.0
180,static_rule,simple,B,0.95,1.0,691.9688529092869,0.1,1,0,0.1,691.9688529092869,0.0
181,static_rule,simple,B,0.95,1.0,702.9668836607915,0.1,1,0,0.1,702.9668836607915,0.0
182,static_rule,simple,B,0.95,1.0,648.8929456355957,0.1,1,0,0.1,648.8929456355957,0.0
183,static_rule,simple,B,0.95,1.0,815.2037415674164,0.1,1,0,0.1,815.2037415674164,0.0
184,static_rule,simple,B,0.95,1.0,715.1028822001518,0.1,1,0,0.1,715.1028822001518,0.0
185,static_rule,hard,A,0.95,0.4635350406700206,1033.7924738288948,1.0,1,0,1.0,1033.7924738288948,0.0
186,static_rule,hard,A,0.95,0.7079108357896181,1466.076731541958,1.0,1,0,1.0,1466.076731541958,0.0
187,static_rule,simple,B,0.95,0.9814719999999999,605.2456317753065,0.1,1,0,0.1,605.2456317753065,0.0
188,static_rule,simple,B,0.95,1.0,691.4327787321471,0.1,0,0,0.1,691.4327787321471,0.0
189,static_rule,simple,B,0.95,1.0,722.8598860631271,0.1,1,0,0.1,722.8598860631271,0.0
190,static_rule,simple,B,0.95,1.0,818.8259716274947,0.1,1,0,0.1,818.8259716274947,0.0
191,static_rule,simple,B,0.95,1.0,687.0217833213785,0.1,0,0,0.1,687.0217833213785,0.0
192,static_rule,simple,B,0.95,1.0,711.3948576788819,0.1,1,0,0.1,711.3948576788819,0.0
193,static_rule,simple,B,0.95,1.0,747.620397611837,0.1,0,0,0.1,747.620397611837,0.0
194,static_rule,simple,B,0.95,1.0,662.2632778362815,0.1,1,0,0.1,662.2632778362815,0.0
195,static_rule,simple,B,0.95,1.0,657.6354686161892,0.1,1,0,0.1,657.6354686161892,0.0
196,static_rule,hard,A,0.95,0.49715385869504025,894.5640295711914,1.0,1,0,1.0,894.5640295711914,0.0
197,static_rule,simple,B,0.95,1.0,669.2521298637115,0.1,0,0,0.1,669.2521298637115,0.0
198,static_rule,hard,A,0.95,0.6849959481734391,1409.6487568121465,1.0,1,0,1.0,1409.6487568121465,0.0
199,static_rule,simple,B,0.95,1.0,703.2334901957356,0.1,1,0,0.1,703.2334901957356,0.0
200,static_rule,simple,B,0.95,1.0,790.894786202341,0.1,1,0,0.1,790.894786202341,0.0
201,static_rule,simple,B,0.95,1.0,727.8175448996045,0.1,0,0,0.1,727.8175448996045,0.0
202,static_rule,hard,A,0.95,0.710788891738412,1129.6540977754835,1.0,1,0,1.0,1129.6540977754835,0.0
203,static_rule,simple,B,0.95,1.0,746.8375479011578,0.1,1,0,0.1,746.8375479011578,0.0
204,static_rule,simple,B,0.95,1.0,656.4969286389203,0.1,1,0,0.1,656.4969286389203,0.0
205,static_rule,simple,B,0.95,1.0,645.2380213040702,0.1,1,0,0.1,645.2380213040702,0.0
206,static_rule,hard,A,0.95,0.726256800315068,1255.013148389678,1.0,1,0,1.0,1255.013148389678,0.0
207,static_rule,simple,B,0.95,1.0,819.9708669155436,0.1,1,0,0.1,819.9708669155436,0.0
208,static_rule,simple,B,0.95,1.0,748.6122797014408,0.1,0,0,0.1,748.6122797014408,0.0
209,static_rule,simple,B,0.95,1.0,690.8577538303967,0.1,1,0,0.1,690.8577538303967,0.0
210,static_rule,simple,B,0.95,1.0,689.0020314577088,0.1,1,0,0.1,689.0020314577088,0.0
211,static_rule,hard,A,0.95,0.6832688933193056,1339.189508867978,1.0,1,0,1.0,1339.189508867978,0.0
212,static_rule,simple,B,0.95,1.0,700.0710063999098,0.1,1,0,0.1,700.0710063999098,0.0
213,static_rule,hard,A,0.95,0.8291234309864703,1547.8589354176058,1.0,1,0,1.0,1547.8589354176058,0.0
214,static_rule,simple,B,0.95,1.0,649.2594863008361,0.1,1,0,0.1,649.2594863008361,0.0
215,static_rule,simple,B,0.95,1.0,638.408384949007,0.1,0,0,0.1,638.408384949007,0.0
216,static_rule,simple,B,0.95,1.0,733.1207284447288,0.1,1,0,0.1,733.1207284447288,0.0
217,static_rule,simple,B,0.95,1.0,805.1171830276191,0.1,1,0,0.1,805.1171830276191,0.0
218,static_rule,simple,B,0.95,1.0,722.544869688469,0.1,1,0,0.1,722.544869688469,0.0
219,static_rule,simple,B,0.95,1.0,739.99779208517,0.1,0,0,0.1,739.99779208517,0.0
220,static_rule,simple,B,0.95,1.0,672.9531725883933,0.1,1,0,0.1,672.9531725883933,0.0
221,static_rule,simple,B,0.95,1.0,630.0193431936412,0.1,1,0,0.1,630.0193431936412,0.0
222,static_rule,simple,B,0.95,1.0,809.0374673979894,0.1,1,0,0.1,809.0374673979894,0.0
223,static_rule,simple,B,0.95,1.0,721.6162227084889,0.1,1,0,0.1,721.6162227084889,0.0
224,static_rule,simple,B,0.95,1.0,657.963577830575,0.1,1,0,0.1,657.963577830575,0.0
225,static_rule,simple,B,0.95,1.0,752.5670440291391,0.1,1,0,0.1,752.5670440291391,0.0
226,static_rule,simple,B,0.95,1.0,680.2854561205158,0.1,1,0,0.1,680.2854561205158,0.0
227,static_rule,hard,A,0.95,0.43847666592155177,1157.5527898223563,1.0,1,0,1.0,1157.5527898223563,0.0
228,static_rule,hard,A,0.95,0.6858594660109656,1367.0625804515291,1.0,1,0,1.0,1367.0625804515291,0.0
229,static_rule,simple,B,0.95,0.9814719999999999,663.8903005362753,0.1,0,0,0.1,663.8903005362753,0.0
230,static_rule,simple,B,0.95,1.0,749.2065665585893,0.1,1,0,0.1,749.2065665585893,0.0
231,static_rule,simple,B,0.95,1.0,738.8341764517264,0.1,1,0,0.1,738.8341764517264,0.0
232,static_rule,hard,A,0.95,0.7113067393788538,1278.9107111208955,1.0,1,0,1.0,1278.9107111208955,0.0
233,static_rule,simple,B,0.95,1.0,754.0076949468772,0.1,0,0,0.1,754.0076949468772,0.0
234,static_rule,hard,A,0.95,0.8508359389749844,1594.3041327154801,1.0,1,0,1.0,1594.3041327154801,0.0
235,static_rule,simple,B,0.95,1.0,643.7354524315075,0.1,1,0,0.1,643.7354524315075,0.0
236,static_rule,simple,B,0.95,1.0,724.321034856965,0.1,1,0,0.1,724.321034856965,0.0
237,static_rule,simple,B,0.95,1.0,630.4352809384809,0.1,1,0,0.1,630.4352809384809,0.0
238,static_rule,simple,B,0.95,1.0,682.7786933602288,0.1,1,0,0.1,682.7786933602288,0.0
239,static_rule,simple,B,0.95,1.0,769.094594302219,0.1,1,0,0.1,769.094594302219,0.0
240,static_rule,simple,B,0.95,1.0,666.2212785870112,0.1,0,0,0.1,666.2212785870112,0.0
241,static_rule,simple,B,0.95,1.0,792.9642838828614,0.1,1,0,0.1,792.9642838828614,0.0
242,static_rule,simple,B,0.95,1.0,644.2649048180523,0.1,1,0,0.1,644.2649048180523,0.0
243,static_rule,simple,B,0.95,1.0,624.5105749748984,0.1,1,0,0.1,624.5105749748984,0.0
244,static_rule,simple,B,0.95,1.0,742.2119040936283,0.1,1,0,0.1,742.2119040936283,0.0
245,static_rule,simple,B,0.95,1.0,728.1889757900439,0.1,1,0,0.1,728.1889757900439,0.0
246,static_rule,simple,B,0.95,1.0,809.5147922533704,0.1,1,0,0.1,809.5147922533704,0.0
247,static_rule,simple,B,0.95,1.0,670.0716734291316,0.1,1,0,0.1,670.0716734291316,0.0
248,static_rule,simple,B,0.95,1.0,753.5015788940298,0.1,1,0,0.1,753.5015788940298,0.0
249,static_rule,hard,A,0.95,0.4250506369878745,1065.9423455594736,1.0,1,0,1.0,1065.9423455594736,0.0
250,static_rule,simple,B,0.95,1.0,653.7619728666377,0.1,1,0,0.1,653.7619728666377,0.0
251,static_rule,hard,A,0.95,0.6291592132834101,1128.7490314349889,1.0,1,0,1.0,1128.7490314349889,0.0
252,static_rule,simple,B,0.95,1.0,683.9278964339142,0.1,1,0,0.1,683.9278964339142,0.0
