policy,n,p_hard,topL,success_rate,total_cost,avg_cost,avg_latency_ms,fallback_rate,choose_A,choose_B,choose_C,choose_D,choose_E,choose_F,choose_G
sop_strong,100,0.43,2,0.88,0.03922175,0.0003922175,2443.9037656784058,0.0,0,0,0,100,0,0,0
sop_rule,100,0.43,2,0.95,0.02066525,0.0002066525,1569.8749685287476,0.0,57,0,0,43,0,0,0
random,100,0.43,2,0.69,0.029028300000000003,0.000290283,5018.082115650177,0.24,29,28,0,21,0,22,0
linucb,100,0.43,2,0.77,0.0224931,0.000224931,3685.9173583984375,0.15,40,17,0,26,0,17,0
